"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FRME","First Merchants Corporation","19.16","552300526.96","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/frme",
"FMBI","First Midwest Bancorp, Inc.","16.89","1267961300.13","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmbi",
"NBCB","First NBC Bank Holding Company","28.73","513108951.16","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/nbcb",
"FNFG","First Niagara Financial Group Inc.","11.03","3904281974.62","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnfg",
"FSFG","First Savings Financial Group, Inc.","22.61","52302288.57","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fsfg",
"FSGI","First Security Group, Inc.","2.01","127174442.67","n/a","2005","Finance","Major Banks","http://www.nasdaq.com/symbol/fsgi",
"FSLR","First Solar, Inc.","61.72","6137442972","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/fslr",
"FSBK","First South Bancorp Inc","7.04","68648947.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fsbk",
"BICK","First Trust BICK Index Fund","23.5885","18870847.177","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bick",
"FTCS","First Trust Capital Strength ETF","32.58","58644065.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftcs",
"TDIV","First Trust Exchange-Traded Fund VI First Trust NASDAQ Technol","23.87","240012850","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tdiv",
"MDIV","First Trust Exchange-Traded Fund VI Multi-Asset Diversified In","20.85","516037541.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mdiv",
"FTGC","First Trust Global Tactical Commodity Strategy Fund","29.1199","3009075.7466","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftgc",
"HYLS","First Trust High Yield Long/Short ETF","51.3915","74517777.783","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hyls",
"SKYY","First Trust ISE Cloud Computing Index Fund","24.95","148452549.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/skyy",
"CU","First Trust ISE Global Copper Index Fund","21.75","32625043.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cu",
"PLTM","First Trust ISE Global Platinum Index Fund","12.5385","11911600.077","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pltm",
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","33.93","44109067.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qaba",
"FONE","First Trust NASDAQ CEA Smartphone Index Fund","31.896","9568863.792","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/fone",
"GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ","35.6337","12471866.2674","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grid",
"QCLN","First Trust NASDAQ Clean Edge U.S. Liquid Series Index Fund","17.49","85701034.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qcln",
"CARZ","First Trust NASDAQ Global Auto Index Fund","38.4999","53899936.9998","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/carz",
"QQEW","First Trust NASDAQ-100 Equal Weighted Index Fund","34.328","260892868.656","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqew",
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund","32.946","82365065.892","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqxt",
"QTEC","First Trust NASDAQ-100-Technology Sector Index Fund","33.26","152996066.52","n/a","1984","n/a","n/a","http://www.nasdaq.com/symbol/qtec",
"FTSL","First Trust Senior Loan Fund ETF","49.635","101751849.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftsl",
"FUNC","First United Corporation","8.03","49871013.61","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/func",
"FBMI","Firstbank Corporation","19.66","158786368.86","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbmi",
"SVVC","Firsthand Technology Value Fund, Inc.","21.36","193778603.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/svvc",
"FMER","FirstMerit Corporation","22.4","3697155257.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmer",
"FSRV","FirstService Corporation","41.46","1422923286.48","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/fsrv",
"FISV","Fiserv, Inc.","105.63","13623011525.76","n/a","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/fisv",
"FIVE","Five Below, Inc.","51.86","2802528402.2","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/five",
"FPRX","Five Prime Therapeutics, Inc.","8.49","135982691.43","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fprx",
"FLML","Flamel Technologies S.A.","6","152492400","n/a","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FLXS","Flexsteel Industries, Inc.","27.6","198124750.8","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/flxs",
"FLEX","Flextronics International Ltd.","7.54","4582684543.84","n/a","1994","Technology","Electrical Products","http://www.nasdaq.com/symbol/flex",
"FLIR","FLIR Systems, Inc.","29.04","4113661083.84","n/a","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flir",
"FLOW","Flow International Corporation","3.99","195692586.39","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flow",
"FLDM","Fluidigm Corporation","29.9","765845055.3","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/fldm",
"FFIC","Flushing Financial Corporation","19.82","596947738.46","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffic",
